"STATION","DATE","TAVG","TMIN","TMAX","PRCP","Tonnes","kgha"
"Colombia",1948-01-01,26.98,23.05,30.91,40.2,381425.612203245,536.695046968403
"Colombia",1948-02-01,27.3,23.13,31.46,126.3,381425.612203245,536.695046968403
"Colombia",1948-03-01,27.53,23.55,31.52,145.1,381425.612203245,536.695046968403
"Colombia",1948-04-01,27.19,22.93,31.45,213.8,381425.612203245,536.695046968403
"Colombia",1948-05-01,27.15,23.38,30.91,374.7,381425.612203245,536.695046968403
"Colombia",1948-06-01,25.96,22.82,29.1,437.2,381425.612203245,536.695046968403
"Colombia",1948-07-01,24.79,22.58,27,763.8,381425.612203245,536.695046968403
"Colombia",1948-08-01,24.48,22.54,26.42,641.7,381425.612203245,536.695046968403
"Colombia",1948-09-01,25.3,22.63,27.97,445.1,381425.612203245,536.695046968403
"Colombia",1948-10-01,25.78,22.16,29.39,454.4,381425.612203245,536.695046968403
"Colombia",1948-11-01,25.98,22.33,29.62,107.7,381425.612203245,536.695046968403
"Colombia",1948-12-01,27.03,23.2,30.87,20.5,381425.612203245,536.695046968403
"Colombia",1949-01-01,27.35,23.32,31.38,58.8,381425.612203245,536.695046968403
"Colombia",1949-02-01,27.21,23,31.43,66.6,381425.612203245,536.695046968403
"Colombia",1949-03-01,27.55,23.39,31.7,123.5,381425.612203245,536.695046968403
"Colombia",1949-04-01,27.07,22.87,31.26,348.9,381425.612203245,536.695046968403
"Colombia",1949-05-01,27.31,23.31,31.31,373.4,381425.612203245,536.695046968403
"Colombia",1949-06-01,26.16,22.76,29.56,366.9,381425.612203245,536.695046968403
"Colombia",1949-07-01,25.42,22.72,28.12,785.9,381425.612203245,536.695046968403
"Colombia",1949-08-01,25.06,22.4,27.71,587.4,381425.612203245,536.695046968403
"Colombia",1949-09-01,25.57,22.54,28.6,456.4,381425.612203245,536.695046968403
"Colombia",1949-10-01,26.09,22.33,29.85,355.2,381425.612203245,536.695046968403
"Colombia",1949-11-01,27.01,23.09,30.92,94.1,381425.612203245,536.695046968403
"Colombia",1949-12-01,27.42,23.28,31.56,9.1,381425.612203245,536.695046968403
"Colombia",1976-11-01,26.5404071246819,21.6797858099063,31.403045325779,179.4,29200,535.8
"Colombia",1977-08-01,26.5404071246819,22.88,31.403045325779,713.8,27000,469.6
"Colombia",1977-10-01,26.5404071246819,21.6797858099063,31.403045325779,159.5,27000,469.6
"Colombia",1977-06-01,26.5404071246819,21.6797858099063,31.403045325779,256.5,27000,469.6
"Colombia",1977-02-01,26.5404071246819,21.6797858099063,31.403045325779,10.1,27000,469.6
"Colombia",1977-11-01,26.5404071246819,21.6797858099063,31.403045325779,12.9,27000,469.6
"Colombia",1977-09-01,26.5404071246819,23.11,31.403045325779,445.1,27000,469.6
"Colombia",1977-05-01,26.5404071246819,21.6797858099063,31.403045325779,261.6,27000,469.6
"Colombia",1977-12-01,26.5404071246819,21.6797858099063,31.403045325779,15.2,27000,469.6
"Colombia",1977-04-01,26.5404071246819,21.6797858099063,31.403045325779,229.8,27000,469.6
"Colombia",1978-01-01,26.5404071246819,21.6797858099063,31.403045325779,0.5,31000,512.4
"Colombia",1978-11-01,26.5404071246819,21.6797858099063,31.403045325779,119.4,31000,512.4
"Colombia",1978-08-01,26.5404071246819,21.6797858099063,31.403045325779,422.4,31000,512.4
"Colombia",1978-03-01,26.5404071246819,21.6797858099063,31.403045325779,72.8,31000,512.4
"Colombia",1979-08-01,26.5404071246819,21.6797858099063,31.403045325779,510.1,32300,515.2
"Colombia",1979-04-01,26.5404071246819,21.6797858099063,31.403045325779,158.1,32300,515.2
"Colombia",1980-04-01,27.52,23.44,31.6,247.1,35700,554.3
"Colombia",1980-12-01,26.5404071246819,21.6797858099063,31.403045325779,23.1,35700,554.3
"Colombia",1980-09-01,25.86,23,28.72,825.7,35700,554.3
"Colombia",1980-08-01,26.5404071246819,22.96,31.403045325779,708.3,35700,554.3
"Colombia",1980-03-01,26.5404071246819,23.57,31.403045325779,198.3,35700,554.3
"Colombia",1980-05-01,26.5404071246819,21.6797858099063,31.403045325779,369.5,35700,554.3
"Colombia",1981-06-01,26.62,23.4,29.85,267.4,38300,563.2
"Colombia",1981-12-01,26.5404071246819,21.6797858099063,32.35,215.747344110854,38300,563.2
"Colombia",1981-11-01,26.5404071246819,21.6797858099063,31.403045325779,108,38300,563.2
"Colombia",1981-03-01,28.33,24,32.65,141.4,38300,563.2
"Colombia",1982-06-01,26.5404071246819,21.6797858099063,31.403045325779,276.7,39400,509.7
"Colombia",1982-09-01,26.5404071246819,21.6797858099063,31.403045325779,826.3,39400,509.7
"Colombia",1982-05-01,26.5404071246819,21.6797858099063,31.403045325779,363.8,39400,509.7
"Colombia",1982-07-01,26.5404071246819,21.6797858099063,31.403045325779,641,39400,509.7
"Colombia",1982-08-01,26.5404071246819,21.6797858099063,31.403045325779,764.9,39400,509.7
"Colombia",1983-08-01,26.5404071246819,21.6797858099063,26.91,418.6,37000,493.3
"Colombia",1983-07-01,26.5404071246819,21.6797858099063,31.403045325779,344.3,37000,493.3
"Colombia",1983-02-01,26.5404071246819,24.77,31.403045325779,215.747344110854,37000,493.3
"Colombia",1983-03-01,26.5404071246819,25.26,31.403045325779,215.747344110854,37000,493.3
"Colombia",1984-12-01,26.5404071246819,22.58,31.403045325779,215.747344110854,40700,476.9
"Colombia",1985-08-01,26.5404071246819,21.6797858099063,28.63,631.4,42500,464
"Colombia",1985-01-01,26.5404071246819,21.6797858099063,31.6,215.747344110854,42500,464
"Colombia",1988-10-01,26.5404071246819,21.6797858099063,30.42,480.2,54080,481.8
"Colombia",1989-03-01,26.5404071246819,21.6797858099063,33,215.747344110854,55430,469
"Colombia",1989-08-01,25.26,22.65,27.87,709.1,55430,469
"Colombia",1989-05-01,26.5404071246819,21.6797858099063,31.63,215.747344110854,55430,469
"Colombia",1992-08-01,26.5404071246819,21.6797858099063,31.403045325779,320.4,54857,458.3
"Colombia",1992-09-01,26.5404071246819,21.6797858099063,31.403045325779,468.2,54857,458.3
"Colombia",1992-12-01,26.5404071246819,23.65,31.403045325779,215.747344110854,54857,458.3
"Colombia",1993-02-01,26.5404071246819,24.36,31.403045325779,215.747344110854,57472,457.4
"Colombia",1993-05-01,26.5404071246819,21.6797858099063,31.403045325779,397.1,57472,457.4
"Colombia",1994-08-01,26.5404071246819,21.6797858099063,27.6,858.3,50624,466.4
"Colombia",1994-12-01,26.5404071246819,21.6797858099063,32.88,215.747344110854,50624,466.4
"Colombia",1994-05-01,26.5404071246819,21.6797858099063,31.77,215.747344110854,50624,466.4
"Colombia",1994-06-01,26.5404071246819,21.6797858099063,31.403045325779,272,50624,466.4
"Colombia",1994-07-01,26.5404071246819,21.6797858099063,27.86,470.4,50624,466.4
"Colombia",1994-02-01,26.5404071246819,21.6797858099063,32.39,215.747344110854,50624,466.4
"Colombia",1994-10-01,26.5404071246819,22.11,31.403045325779,236.2,50624,466.4
"Colombia",1995-09-01,26.5404071246819,21.6797858099063,29.5,537.4,56652,465.6
"Colombia",1995-07-01,25.46,22.6,28.33,552,56652,465.6
"Colombia",1995-02-01,28.5,23.74,33.26,215.747344110854,56652,465.6
"Colombia",1995-01-01,28.01,23.41,32.62,215.747344110854,56652,465.6
"Colombia",1995-05-01,26.5404071246819,21.6797858099063,32.2,296.7,56652,465.6
"Colombia",1995-04-01,28.14,23.53,32.74,215.747344110854,56652,465.6
"Colombia",1995-08-01,26.5404071246819,22.79,31.403045325779,788.1,56652,465.6
"Colombia",1995-06-01,26.48,22.79,30.17,374.6,56652,465.6
"Colombia",1996-09-01,26.5404071246819,21.6797858099063,31.403045325779,392.2,49635,438
"Colombia",1996-11-01,28.16,24.24,32.08,215.747344110854,49635,438
"Colombia",1996-07-01,26.5404071246819,21.6797858099063,28.65,321.5,49635,438
"Colombia",1996-08-01,26.5404071246819,21.6797858099063,27.78,533.7,49635,438
"Colombia",1997-03-01,26.5404071246819,21.6797858099063,33.14,215.747344110854,50317,459
"Colombia",1997-02-01,26.5404071246819,21.6797858099063,34.15,215.747344110854,50317,459
"Colombia",1998-07-01,26.5404071246819,21.6797858099063,30.19,449.3,50685,531.2
"Colombia",1998-10-01,26.5404071246819,21.6797858099063,31.39,259,50685,531.2
"Colombia",1998-09-01,26.5404071246819,21.6797858099063,29.77,685,50685,531.2
"Colombia",2000-09-01,26.5404071246819,21.6797858099063,31.403045325779,339.2,36731,441.8
"Colombia",2000-07-01,26.5404071246819,21.6797858099063,31.403045325779,702.6,36731,441.8
"Colombia",2001-12-01,26.5404071246819,21.6797858099063,31.98,215.747344110854,36070,449.9
"Colombia",2001-09-01,26.5404071246819,21.6797858099063,31.403045325779,335.5,36070,449.9
"Colombia",2001-06-01,26.5404071246819,21.6797858099063,31.403045325779,647.6,36070,449.9
"Colombia",2002-08-01,26.5404071246819,21.6797858099063,31.403045325779,774.7,34002,407.7
"Colombia",2002-03-01,26.5404071246819,21.6797858099063,32.5,215.747344110854,34002,407.7
"Colombia",2002-02-01,26.5404071246819,21.6797858099063,33.44,215.747344110854,34002,407.7
"Colombia",2003-06-01,26.5404071246819,21.6797858099063,31.403045325779,240.5,41704,480.5
"Colombia",2003-03-01,26.5404071246819,21.6797858099063,33.1,215.747344110854,41704,480.5
"Colombia",2003-09-01,26.5404071246819,21.6797858099063,31.403045325779,318.6,41704,480.5
"Colombia",2003-05-01,26.5404071246819,21.6797858099063,31.403045325779,291.3,41704,480.5
"Colombia",2004-07-01,26.5404071246819,21.6797858099063,31.403045325779,404.1,38753,526
"Colombia",2004-02-01,26.5404071246819,21.6797858099063,34.23,215.747344110854,38753,526
"Colombia",2004-09-01,26.5404071246819,21.6797858099063,31.403045325779,590.3,38753,526
"Colombia",2004-08-01,26.5404071246819,21.6797858099063,31.403045325779,782.8,38753,526
"Colombia",2004-04-01,26.5404071246819,21.6797858099063,32.34,244.3,38753,526
"Colombia",2004-06-01,26.5404071246819,21.6797858099063,30.15,346,38753,526
"Colombia",2005-09-01,26.5404071246819,21.6797858099063,31.403045325779,673.4,37099,460
"Colombia",2005-08-01,26.5404071246819,21.6797858099063,31.403045325779,465,37099,460
"Colombia",2005-04-01,26.5404071246819,21.6797858099063,33.54,178.3,37099,460
"Colombia",2005-02-01,26.5404071246819,21.6797858099063,33.96,215.747344110854,37099,460
"Colombia",2006-09-01,26.5404071246819,21.6797858099063,31.403045325779,682.9,35258,456
"Colombia",2006-12-01,26.5404071246819,24.08,31.403045325779,215.747344110854,35258,456
"Colombia",2006-08-01,26.5404071246819,21.6797858099063,31.403045325779,539.5,35258,456
"Colombia",2007-03-01,26.5404071246819,21.6797858099063,34.05,215.747344110854,39904,459
"Colombia",2007-01-01,26.5404071246819,23.62,31.403045325779,215.747344110854,39904,459
"Colombia",2007-10-01,26.5404071246819,21.6797858099063,30.37,215.747344110854,39904,459
"Colombia",2007-02-01,26.5404071246819,25.43,31.403045325779,215.747344110854,39904,459
"Colombia",2008-08-01,26.5404071246819,21.6797858099063,31.403045325779,432.1,44740,491.9
"Colombia",2008-11-01,26.5404071246819,24.34,31.403045325779,215.747344110854,44740,491.9
"Colombia",2008-09-01,26.5404071246819,21.6797858099063,29.79,215.747344110854,44740,491.9
"Colombia",2009-08-01,25.6,23.32,27.88,712.6,44740,470.1
"Colombia",2009-01-01,26.5404071246819,24.57,31.403045325779,215.747344110854,44740,470.1
"Colombia",2009-10-01,26.5404071246819,23.29,31.403045325779,215.747344110854,44740,470.1
"Colombia",2009-11-01,26.5404071246819,21.6797858099063,31.69,215.747344110854,44740,470.1
"Colombia",2010-08-01,26.5404071246819,21.6797858099063,31.403045325779,495.8,39534,413.4
"Colombia",2011-12-01,26.5404071246819,21.6797858099063,32.81,215.747344110854,37202,375
"Colombia",2011-10-01,26.5404071246819,21.6797858099063,30.81,402.7,37202,375
"Colombia",2011-05-01,26.5404071246819,21.6797858099063,31.403045325779,141.3,37202,375
"Colombia",2011-08-01,26.5404071246819,21.6797858099063,31.403045325779,901.8,37202,375
"Colombia",2011-09-01,26.5404071246819,21.6797858099063,29.78,711.3,37202,375
"Colombia",2012-05-01,26.5404071246819,21.6797858099063,32.38,215.747344110854,41670,275.7
"Colombia",2012-11-01,26.5404071246819,21.6797858099063,31.5,215.747344110854,41670,275.7
"Colombia",2012-07-01,26.5404071246819,21.6797858099063,28,482,41670,275.7
"Colombia",2012-03-01,26.5404071246819,21.6797858099063,33.39,215.747344110854,41670,275.7
"Colombia",2012-08-01,26.5404071246819,21.6797858099063,28.39,463.3,41670,275.7
"Colombia",2012-04-01,26.5404071246819,21.6797858099063,32.8,215.747344110854,41670,275.7
"Colombia",2012-09-01,26.5404071246819,21.6797858099063,29.26,622.3,41670,275.7
"Colombia",2013-08-01,26.5404071246819,21.6797858099063,31.403045325779,358.1,46739,301.2
"Colombia",2013-09-01,26.5404071246819,21.6797858099063,31.403045325779,659,46739,301.2
"Colombia",2013-07-01,26.5404071246819,21.6797858099063,31.403045325779,496,46739,301.2
"Colombia",2013-06-01,26.5404071246819,21.6797858099063,31.403045325779,309,46739,301.2
"Colombia",2014-10-01,26.5404071246819,21.6797858099063,31.403045325779,259.8,47732,358
"Colombia",2014-08-01,26.5404071246819,21.6797858099063,31.403045325779,505,47732,358
"Colombia",2015-11-01,26.5404071246819,23.57,31.403045325779,215.747344110854,54797.95,400.7
"Colombia",2015-09-01,26.5404071246819,23.12,31.403045325779,410.4,54797.95,400.7
"Colombia",2015-12-01,26.5404071246819,21.6797858099063,33.46,215.747344110854,54797.95,400.7
"Colombia",2015-06-01,26.5404071246819,21.6797858099063,31.403045325779,463.9,54797.95,400.7
"Colombia",2015-07-01,26.5404071246819,23.04,31.403045325779,215.747344110854,54797.95,400.7
"Colombia",2015-08-01,26.5404071246819,23.15,31.403045325779,466.9,54797.95,400.7
"Colombia",2015-04-01,26.5404071246819,21.6797858099063,31.403045325779,91.9,54797.95,400.7
"Colombia",2016-08-01,26.5404071246819,23.3,31.403045325779,902.3,56785,402.3
"Colombia",2016-12-01,26.5404071246819,24.22,31.403045325779,215.747344110854,56785,402.3
"Colombia",2016-02-01,26.5404071246819,25.46,31.403045325779,215.747344110854,56785,402.3
"Colombia",2016-06-01,27.17,23.46,30.89,215.747344110854,56785,402.3
"Colombia",2016-01-01,26.5404071246819,24.51,31.403045325779,215.747344110854,56785,402.3
"Colombia",2016-07-01,26.5404071246819,21.6797858099063,31.403045325779,367.8,56785,402.3
"Colombia",2016-09-01,26.5404071246819,23.53,31.403045325779,473.8,56785,402.3
"Colombia",2016-10-01,26.5404071246819,21.6797858099063,31.403045325779,333.8,56785,402.3
"Colombia",2017-04-01,26.5404071246819,21.6797858099063,31.403045325779,361.4,89282,857.3
"Colombia",2017-05-01,26.5404071246819,21.6797858099063,31.403045325779,174.6,89282,857.3
"Colombia",2017-08-01,26.5404071246819,21.6797858099063,31.403045325779,561.7,89282,857.3
"Colombia",2017-01-01,26.5404071246819,24.44,31.403045325779,215.747344110854,89282,857.3
"Colombia",2018-08-01,26.5404071246819,21.6797858099063,31.403045325779,505.7,97978,926.6
"Colombia",2018-09-01,26.5404071246819,21.6797858099063,31.403045325779,285.6,97978,926.6
"Colombia",2018-06-01,26.5404071246819,21.6797858099063,31.403045325779,446.9,97978,926.6
"Colombia",2019-10-01,26.5404071246819,23.04,31.403045325779,341.2,102154,867
"Colombia",2019-11-01,26.5404071246819,23.35,31.403045325779,215.747344110854,102154,867
"Colombia",2019-08-01,26.5404071246819,21.6797858099063,31.403045325779,605.7,102154,867
"Colombia",2019-12-01,26.5404071246819,24,31.403045325779,215.747344110854,102154,867
"Colombia",2020-06-01,26.5404071246819,21.6797858099063,31.403045325779,328.8,63416,336.7
"Colombia",2020-07-01,26.5404071246819,22.87,31.403045325779,560.2,63416,336.7
"Colombia",2020-09-01,26.5404071246819,22.89,31.403045325779,532.8,63416,336.7
"Colombia",2021-09-01,26.5404071246819,21.6797858099063,31.403045325779,484.5,69040,355.1
"Colombia",2021-07-01,26.5404071246819,21.6797858099063,31.403045325779,467.7,69040,355.1
"Colombia",2021-05-01,26.5404071246819,21.6797858099063,31.403045325779,246.6,69040,355.1
"Colombia",2021-08-01,26.5404071246819,21.6797858099063,31.403045325779,623.9,69040,355.1
"Colombia",2022-08-01,26.5404071246819,21.6797858099063,31.403045325779,734.9,62158,327.1
"Colombia",2022-07-01,26.5404071246819,21.6797858099063,31.403045325779,733,62158,327.1
"Colombia",2022-09-01,26.5404071246819,21.6797858099063,31.403045325779,659.4,62158,327.1
"Colombia",2023-05-01,26.5404071246819,21.6797858099063,31.403045325779,135.8,59831,313.6
"Colombia",2023-10-01,26.5404071246819,21.6797858099063,31.403045325779,459.6,59831,313.6
"Colombia",2023-08-01,26.5404071246819,21.6797858099063,31.403045325779,377.4,59831,313.6
"Colombia",2023-06-01,26.5404071246819,21.6797858099063,31.403045325779,621,59831,313.6
"Colombia",2023-09-01,26.5404071246819,21.6797858099063,31.403045325779,780.7,59831,313.6
"Colombia",2023-07-01,26.5404071246819,21.6797858099063,31.403045325779,453.4,59831,313.6
"Colombia",2024-07-01,26.5404071246819,21.6797858099063,31.403045325779,717,381425.612203245,536.695046968403
"Colombia",2024-08-01,26.5404071246819,21.6797858099063,31.403045325779,625.2,381425.612203245,536.695046968403
"Colombia",2024-09-01,26.5404071246819,21.6797858099063,31.403045325779,331.7,381425.612203245,536.695046968403
"Colombia",2024-10-01,26.5404071246819,21.6797858099063,31.403045325779,395.6,381425.612203245,536.695046968403
"Colombia",2024-11-01,26.5404071246819,21.6797858099063,31.403045325779,258.1,381425.612203245,536.695046968403
