Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1961","1961","kg/ha","433.3","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1961","1961","t","14300","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1962","1962","kg/ha","441.2","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1962","1962","t","15000","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1963","1963","kg/ha","448.6","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1963","1963","t","15700","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1964","1964","kg/ha","443.2","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1964","1964","t","16400","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1965","1965","kg/ha","457.2","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1965","1965","t","17100","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1966","1966","kg/ha","468.4","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1966","1966","t","17800","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1967","1967","kg/ha","459.5","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1967","1967","t","17000","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1968","1968","kg/ha","461.5","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1968","1968","t","18000","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1969","1969","kg/ha","447.9","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1969","1969","t","18500","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1970","1970","kg/ha","415.8","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1970","1970","t","19000","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1971","1971","kg/ha","428.6","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1971","1971","t","21000","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1972","1972","kg/ha","418.3","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1972","1972","t","22000","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1973","1973","kg/ha","418.9","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1973","1973","t","23000","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1974","1974","kg/ha","423.1","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1974","1974","t","24500","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1975","1975","kg/ha","494.3","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1975","1975","t","26000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1976","1976","kg/ha","535.8","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1976","1976","t","29200","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1977","1977","kg/ha","469.6","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1977","1977","t","27000","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01640","Cocoa beans","1978","1978","kg/ha","512.4","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","1978","1978","t","31000","A","Official figure",""
