Entity,Code,Year,Cocoa beans | 00000661 || Production | 005510 || tonnes,time
Angola,AGO,2022,450.17,2022
Belize,BLZ,2022,152,2022
Benin,BEN,2022,0,2022
Bolivia,BOL,2022,5791.55,2022
Brazil,BRA,2022,273873,2022
Cameroon,CMR,2022,300000,2022
Central African Republic,CAF,2022,134.13,2022
Colombia,COL,2022,62158,2022
Comoros,COM,2022,42.54,2022
Congo,COG,2022,20000,2022
Costa Rica,CRI,2022,800,2022
Cote d'Ivoire,CIV,2022,2230000,2022
Cuba,CUB,2022,1429,2022
Democratic Republic of Congo,COD,2022,20000,2022
Dominica,DMA,2022,1000,2022
Dominican Republic,DOM,2022,75900,2022
East Timor,TLS,2022,175.07,2022
Ecuador,ECU,2022,337149.4,2022
El Salvador,SLV,2022,400.48,2022
Equatorial Guinea,GNQ,2022,1000,2022
Fiji,FJI,2022,131.31,2022
Gabon,GAB,2022,100,2022
Ghana,GHA,2022,1108662.9,2022
Grenada,GRD,2022,433,2022
Guatemala,GTM,2022,11661.87,2022
Guinea,GIN,2022,24271.32,2022
Guyana,GUY,2022,479.56,2022
Haiti,HTI,2022,1000,2022
Honduras,HND,2022,1000,2022
India,IND,2022,28000,2022
Indonesia,IDN,2022,667296,2022
Jamaica,JAM,2022,222,2022
Liberia,LBR,2022,20000,2022
Madagascar,MDG,2022,15000,2022
Malaysia,MYS,2022,493,2022
Mexico,MEX,2022,28114.83,2022
Micronesia (country),FSM,2022,31.37,2022
Nicaragua,NIC,2022,9641.75,2022
Nigeria,NGA,2022,280000,2022
Panama,PAN,2022,1500,2022
Papua New Guinea,PNG,2022,42000,2022
Peru,PER,2022,171176.75,2022
Philippines,PHL,2022,10446.07,2022
Saint Lucia,LCA,2022,29,2022
Saint Vincent and the Grenadines,VCT,2022,227.76,2022
Samoa,WSM,2022,480.18,2022
Sao Tome and Principe,STP,2022,3000,2022
Sierra Leone,SLE,2022,18000,2022
Solomon Islands,SLB,2022,4000,2022
Sri Lanka,LKA,2022,1221,2022
Suriname,SUR,2022,4.59,2022
Taiwan,TWN,2022,0,2022
Tanzania,TZA,2022,14000,2022
Thailand,THA,2022,123.72,2022
Togo,TGO,2022,14000,2022
Tonga,TON,2022,0,2022
Trinidad and Tobago,TTO,2022,300,2022
Uganda,UGA,2022,35000,2022
Vanuatu,VUT,2022,1253.58,2022
Venezuela,VEN,2022,29325,2022
Vietnam,VNM,2022,1500,2022
