"Area","Year","kgha","Date","STATION"
"Colombia",1961,433.3,1961-12-31,"Colombia"
"Colombia",1962,441.2,1962-12-31,"Colombia"
"Colombia",1963,448.6,1963-12-31,"Colombia"
"Colombia",1964,443.2,1964-12-31,"Colombia"
"Colombia",1965,457.2,1965-12-31,"Colombia"
"Colombia",1966,468.4,1966-12-31,"Colombia"
"Colombia",1967,459.5,1967-12-31,"Colombia"
"Colombia",1968,461.5,1968-12-31,"Colombia"
"Colombia",1969,447.9,1969-12-31,"Colombia"
"Colombia",1970,415.8,1970-12-31,"Colombia"
"Colombia",1971,428.6,1971-12-31,"Colombia"
"Colombia",1972,418.3,1972-12-31,"Colombia"
"Colombia",1973,418.9,1973-12-31,"Colombia"
"Colombia",1974,423.1,1974-12-31,"Colombia"
"Colombia",1975,494.3,1975-12-31,"Colombia"
"Colombia",1976,535.8,1976-12-31,"Colombia"
"Colombia",1977,469.6,1977-12-31,"Colombia"
"Colombia",1978,512.4,1978-12-31,"Colombia"
"Colombia",1979,515.2,1979-12-31,"Colombia"
"Colombia",1980,554.3,1980-12-31,"Colombia"
"Colombia",1981,563.2,1981-12-31,"Colombia"
"Colombia",1982,509.7,1982-12-31,"Colombia"
"Colombia",1983,493.3,1983-12-31,"Colombia"
"Colombia",1984,476.9,1984-12-31,"Colombia"
"Colombia",1985,464,1985-12-31,"Colombia"
"Colombia",1986,481.9,1986-12-31,"Colombia"
"Colombia",1987,512.3,1987-12-31,"Colombia"
"Colombia",1988,481.8,1988-12-31,"Colombia"
"Colombia",1989,469,1989-12-31,"Colombia"
"Colombia",1990,465.2,1990-12-31,"Colombia"
"Colombia",1991,465.1,1991-12-31,"Colombia"
"Colombia",1992,458.3,1992-12-31,"Colombia"
"Colombia",1993,457.4,1993-12-31,"Colombia"
"Colombia",1994,466.4,1994-12-31,"Colombia"
"Colombia",1995,465.6,1995-12-31,"Colombia"
"Colombia",1996,438,1996-12-31,"Colombia"
"Colombia",1997,459,1997-12-31,"Colombia"
"Colombia",1998,531.2,1998-12-31,"Colombia"
"Colombia",1999,526.5,1999-12-31,"Colombia"
"Colombia",2000,441.8,2000-12-31,"Colombia"
"Colombia",2001,449.9,2001-12-31,"Colombia"
"Colombia",2002,407.7,2002-12-31,"Colombia"
"Colombia",2003,480.5,2003-12-31,"Colombia"
"Colombia",2004,526,2004-12-31,"Colombia"
"Colombia",2005,460,2005-12-31,"Colombia"
"Colombia",2006,456,2006-12-31,"Colombia"
"Colombia",2007,459,2007-12-31,"Colombia"
"Colombia",2008,491.9,2008-12-31,"Colombia"
