"Area","Year","Tonnes","Date","STATION"
"Colombia",1961,14300,1961-12-31,"Colombia"
"Colombia",1962,15000,1962-12-31,"Colombia"
"Colombia",1963,15700,1963-12-31,"Colombia"
"Colombia",1964,16400,1964-12-31,"Colombia"
"Colombia",1965,17100,1965-12-31,"Colombia"
"Colombia",1966,17800,1966-12-31,"Colombia"
"Colombia",1967,17000,1967-12-31,"Colombia"
"Colombia",1968,18000,1968-12-31,"Colombia"
"Colombia",1969,18500,1969-12-31,"Colombia"
"Colombia",1970,19000,1970-12-31,"Colombia"
"Colombia",1971,21000,1971-12-31,"Colombia"
"Colombia",1972,22000,1972-12-31,"Colombia"
"Colombia",1973,23000,1973-12-31,"Colombia"
"Colombia",1974,24500,1974-12-31,"Colombia"
"Colombia",1975,26000,1975-12-31,"Colombia"
"Colombia",1976,29200,1976-12-31,"Colombia"
"Colombia",1977,27000,1977-12-31,"Colombia"
"Colombia",1978,31000,1978-12-31,"Colombia"
"Colombia",1979,32300,1979-12-31,"Colombia"
"Colombia",1980,35700,1980-12-31,"Colombia"
"Colombia",1981,38300,1981-12-31,"Colombia"
"Colombia",1982,39400,1982-12-31,"Colombia"
"Colombia",1983,37000,1983-12-31,"Colombia"
"Colombia",1984,40700,1984-12-31,"Colombia"
"Colombia",1985,42500,1985-12-31,"Colombia"
"Colombia",1986,46700,1986-12-31,"Colombia"
"Colombia",1987,53680,1987-12-31,"Colombia"
"Colombia",1988,54080,1988-12-31,"Colombia"
"Colombia",1989,55430,1989-12-31,"Colombia"
"Colombia",1990,56153,1990-12-31,"Colombia"
"Colombia",1991,58141,1991-12-31,"Colombia"
"Colombia",1992,54857,1992-12-31,"Colombia"
"Colombia",1993,57472,1993-12-31,"Colombia"
"Colombia",1994,50624,1994-12-31,"Colombia"
"Colombia",1995,56652,1995-12-31,"Colombia"
"Colombia",1996,49635,1996-12-31,"Colombia"
"Colombia",1997,50317,1997-12-31,"Colombia"
"Colombia",1998,50685,1998-12-31,"Colombia"
"Colombia",1999,51485,1999-12-31,"Colombia"
"Colombia",2000,36731,2000-12-31,"Colombia"
"Colombia",2001,36070,2001-12-31,"Colombia"
"Colombia",2002,34002,2002-12-31,"Colombia"
"Colombia",2003,41704,2003-12-31,"Colombia"
"Colombia",2004,38753,2004-12-31,"Colombia"
"Colombia",2005,37099,2005-12-31,"Colombia"
"Colombia",2006,35258,2006-12-31,"Colombia"
"Colombia",2007,39904,2007-12-31,"Colombia"
"Colombia",2008,44740,2008-12-31,"Colombia"
"Colombia",2009,44740,2009-12-31,"Colombia"
"Colombia",2010,39534,2010-12-31,"Colombia"
"Colombia",2011,37202,2011-12-31,"Colombia"
"Colombia",2012,41670,2012-12-31,"Colombia"
"Colombia",2013,46739,2013-12-31,"Colombia"
"Colombia",2014,47732,2014-12-31,"Colombia"
"Colombia",2015,54797.95,2015-12-31,"Colombia"
"Colombia",2016,56785,2016-12-31,"Colombia"
"Colombia",2017,89282,2017-12-31,"Colombia"
"Colombia",2018,97978,2018-12-31,"Colombia"
"Colombia",2019,102154,2019-12-31,"Colombia"
"Colombia",2020,63416,2020-12-31,"Colombia"
"Colombia",2021,69040,2021-12-31,"Colombia"
"Colombia",2022,62158,2022-12-31,"Colombia"
"Colombia",2023,59831,2023-12-31,"Colombia"
"Ivory_Coast",1961,85000,1961-12-31,"Ivory_Coast"
"Ivory_Coast",1962,110000,1962-12-31,"Ivory_Coast"
"Ivory_Coast",1963,115000,1963-12-31,"Ivory_Coast"
